epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1148,1.56012,1.56842,1.33172,0.89969,0.70746,0.84828,0.5062,1.44029,1.40556,1.19962,0.000657005,0.000657005,0.000657005
2,171.81,1.27601,0.81759,1.1699,0.95487,0.86345,0.94458,0.63435,1.14981,0.80652,1.09047,0.00131057,0.00131057,0.00131057
3,256.343,1.20591,0.74222,1.13343,0.94581,0.87677,0.94822,0.63941,1.10798,0.69581,1.09603,0.00195093,0.00195093,0.00195093
4,341.035,1.1574,0.69771,1.10994,0.94086,0.89542,0.95687,0.65906,1.08464,0.69194,1.05472,0.0019406,0.0019406,0.0019406
5,426.869,1.11757,0.66127,1.09894,0.95314,0.91828,0.96956,0.66856,1.0641,0.60095,1.0639,0.0019208,0.0019208,0.0019208
6,511.138,1.06469,0.62689,1.07608,0.96303,0.92191,0.9711,0.6876,0.97247,0.56185,1.03113,0.001901,0.001901,0.001901
7,595.479,1.0465,0.60159,1.06447,0.95831,0.91324,0.97215,0.68852,1.03271,0.56924,1.03398,0.0018812,0.0018812,0.0018812
8,680.624,1.01558,0.57896,1.0526,0.96224,0.93506,0.9755,0.716,0.94998,0.5222,1.01811,0.0018614,0.0018614,0.0018614
9,765.006,0.98724,0.55939,1.04408,0.96494,0.93545,0.97757,0.7318,0.91518,0.4926,1.00065,0.0018416,0.0018416,0.0018416
10,848.975,0.98038,0.55216,1.04571,0.96843,0.94189,0.98069,0.74132,0.88441,0.48163,0.98638,0.0018218,0.0018218,0.0018218
11,933.034,0.96912,0.54042,1.03438,0.96986,0.94153,0.97984,0.72163,0.90666,0.50095,1.00764,0.001802,0.001802,0.001802
12,1017.5,0.95417,0.52788,1.0227,0.97402,0.9379,0.98069,0.74525,0.88065,0.46605,0.97915,0.0017822,0.0017822,0.0017822
13,1101.71,0.93176,0.51576,1.01622,0.97353,0.94889,0.98052,0.75738,0.85075,0.45708,0.97726,0.0017624,0.0017624,0.0017624
14,1185.12,0.92889,0.51538,1.02307,0.96913,0.94865,0.98274,0.74743,0.84402,0.45037,0.97347,0.0017426,0.0017426,0.0017426
15,1269.32,0.90613,0.50436,1.01275,0.97832,0.94859,0.98333,0.76715,0.83126,0.44253,0.97091,0.0017228,0.0017228,0.0017228
16,1353.56,0.90723,0.50573,1.01379,0.9695,0.95104,0.98391,0.74181,0.91325,0.46748,0.99335,0.001703,0.001703,0.001703
17,1438.04,0.90019,0.49508,1.009,0.97693,0.95762,0.98563,0.77539,0.81727,0.42877,0.96482,0.0016832,0.0016832,0.0016832
18,1522.01,0.8701,0.48072,0.99946,0.97336,0.95704,0.98544,0.77469,0.8158,0.43108,0.96553,0.0016634,0.0016634,0.0016634
19,1606.33,0.88469,0.48357,1.00471,0.97444,0.96118,0.9847,0.75679,0.8399,0.44237,0.96819,0.0016436,0.0016436,0.0016436
20,1690.18,0.85832,0.46906,0.9924,0.97773,0.9517,0.9868,0.78435,0.80075,0.41215,0.95154,0.0016238,0.0016238,0.0016238
21,1774.57,0.85268,0.46429,0.99294,0.97994,0.96399,0.98715,0.78788,0.78068,0.40944,0.95187,0.001604,0.001604,0.001604
22,1857.91,0.85733,0.46636,0.99398,0.97905,0.96046,0.98555,0.79487,0.76885,0.39761,0.94419,0.0015842,0.0015842,0.0015842
23,1941.92,0.84884,0.46034,0.99035,0.97969,0.96048,0.98771,0.79154,0.78111,0.40318,0.9525,0.0015644,0.0015644,0.0015644
24,2025.64,0.82878,0.45125,0.98022,0.97566,0.9587,0.98696,0.77769,0.81224,0.41983,0.95965,0.0015446,0.0015446,0.0015446
25,2109.78,0.83876,0.45503,0.98934,0.97891,0.9656,0.98838,0.79773,0.75648,0.39794,0.939,0.0015248,0.0015248,0.0015248
26,2193.51,0.82313,0.44791,0.98056,0.97728,0.95798,0.98591,0.80955,0.74388,0.39218,0.93416,0.001505,0.001505,0.001505
27,2278.13,0.81868,0.44312,0.98172,0.97899,0.96429,0.98879,0.80343,0.75174,0.38907,0.93828,0.0014852,0.0014852,0.0014852
28,2362.49,0.81317,0.44007,0.97691,0.98145,0.96008,0.98812,0.8089,0.74665,0.38136,0.92971,0.0014654,0.0014654,0.0014654
29,2445.68,0.81243,0.43919,0.97312,0.98296,0.96468,0.98972,0.80926,0.73608,0.37845,0.93097,0.0014456,0.0014456,0.0014456
30,2529.46,0.80238,0.43519,0.9728,0.98058,0.96762,0.9896,0.80846,0.74072,0.38483,0.93346,0.0014258,0.0014258,0.0014258
31,2612.98,0.78418,0.42799,0.96626,0.98332,0.96595,0.988,0.80738,0.7333,0.37886,0.93277,0.001406,0.001406,0.001406
32,2696.67,0.7938,0.43101,0.9661,0.98275,0.96695,0.98775,0.8154,0.72296,0.37358,0.92771,0.0013862,0.0013862,0.0013862
33,2780.56,0.79098,0.42768,0.96513,0.98225,0.96919,0.99062,0.81548,0.71167,0.37554,0.92424,0.0013664,0.0013664,0.0013664
34,2864.33,0.78411,0.42487,0.96719,0.98278,0.96831,0.99073,0.82155,0.71289,0.36794,0.92453,0.0013466,0.0013466,0.0013466
35,2948.78,0.78663,0.42499,0.96597,0.97993,0.96978,0.99064,0.82011,0.70228,0.36569,0.91788,0.0013268,0.0013268,0.0013268
