epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,993.829,1.43265,0.85545,1.47807,0.95103,0.89071,0.95466,0.56819,1.42028,0.61886,1.42113,0.0672409,0.0003309,0.0003309
2,1982.64,1.21087,0.633,1.32457,0.95736,0.9276,0.97713,0.66692,1.1589,0.56642,1.26153,0.0342408,0.000664193,0.000664193
3,4187.72,1.19688,0.61363,1.32137,0.96343,0.94692,0.98256,0.69295,1.06266,0.49795,1.21929,0.00124063,0.000997323,0.000997323
1,2317.03,1.43265,0.85545,1.47807,0.95103,0.89071,0.95466,0.56819,1.42028,0.61886,1.42113,0.0672409,0.0003309,0.0003309
4,6628.84,1.12979,0.57648,1.28342,0.97725,0.95791,0.98663,0.72251,0.99288,0.43568,1.17668,0.00099945,0.00099945,0.00099945
2,4760.93,1.21087,0.633,1.32457,0.95736,0.9276,0.97713,0.66692,1.1589,0.56642,1.26153,0.0342408,0.000664193,0.000664193
5,9066.01,1.05307,0.53391,1.23698,0.97563,0.95836,0.98792,0.74638,0.91872,0.4326,1.1395,0.000999023,0.000999023,0.000999023
3,7218.77,1.19688,0.61363,1.32137,0.96343,0.94692,0.98256,0.69295,1.06266,0.49795,1.21929,0.00124063,0.000997323,0.000997323
6,11494.5,1.03656,0.52949,1.23116,0.97728,0.95978,0.98838,0.71955,1.02001,0.44333,1.17454,0.000998474,0.000998474,0.000998474
4,9640.36,1.12979,0.57648,1.28342,0.97725,0.95791,0.98663,0.72251,0.99288,0.43568,1.17668,0.00099945,0.00099945,0.00099945
1,229.97,1.54905,0.94201,1.37794,0.93469,0.85506,0.92161,0.52001,1.4214,0.79169,1.23557,0.0674783,0.000328502,0.000328502
2,467.849,1.31763,0.70969,1.23349,0.9431,0.89002,0.96133,0.63245,1.19202,0.58286,1.11924,0.0344782,0.000661764,0.000661764
